chip,filter_regime,group,comparison,latent__model_id,latent__chip,latent__filter_regime,complexity__kappa_delta,complexity__effrank_delta,complexity__sparsity_delta,complexity__composite_kappa_delta,entropy__shannon_delta,entropy__spectral_delta,mp__spectral_entropy_delta,mp__participation_ratio_delta,mp__largest_eigenvalue_fraction_delta,mp__excess_spectral_mass_delta,latent__pr_delta,latent__eig_entropy_delta,latent__centroid_distance,n_structural_metrics_available,latent__anisotropy_delta,latent__radius_delta,complexity_direction,entropy_direction,mp_direction,latent_direction,n_direction_metrics_available,n_positive_direction_metrics,n_negative_direction_metrics,n_near_zero_direction_metrics,engine_sign_majority,engine_sign_agreement_fraction
hu35ksuba,variance_global,lymphomas,GC/FL,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,12,0.47,0,-0.8899999999999864,0.88,0.428,0.8406973709045404,3.6591370121368767,-0.2824106824312599,-399.3381397393763,2.0033105670312543,0.8813458406346288,28.379364604865255,13,-0.40657474858556,-0.8972040594178985,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,variance_global,lymphomas,GC/LBCL,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,10.7,0.18999999999999995,0,7.179999999999978,0.878,0.187,0.9413695647734819,4.679884462461504,-0.3353634548799114,-596.033399116825,3.0109370905933504,1.0949567775255276,25.54604953133279,13,-0.514816433719397,-6.640294698551418,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,limma,carcinomas,BLAD/TCC,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-10.06,0.3999999999999999,0,-103.97999999999999,0.667,0.33,0.5265435941874452,2.4440703285214473,-0.13112850356018935,-16.347294041607327,0.03242986832782435,0.09149530794372684,38.86635078543544,13,0.02567274588747103,-2.197591639938583,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,limma,carcinomas,BR/BRAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,68.6,0.47,0,133,1.146,0.429,0.7104682351950451,1.6826624860236055,-0.13185918595802615,47.28646103516371,1.225161795636758,0.6643009577915008,35.51757903830364,13,-0.22875755144971857,4.361136175296636,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,limma,carcinomas,COL/COADREAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-31.44,0.010000000000000009,0,-63.75,0.132,0.015,0.14607061558201706,1.2816973816464028,-0.07225687511036416,-5.874003363258865,0.28044173719284515,0.20096526056886277,25.23761229507801,13,-0.0056431991581678,8.350077737549444,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,limma,carcinomas,KID/RCC,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-40.85,-0.10999999999999988,0,-131.35999999999999,-0.416,-0.097,0.3263733156823616,3.1575725495298417,-0.2986410240461856,-19.280195717272417,-0.21424792979112528,-0.06504743111835376,17.16409086737303,13,0.04336119297881075,11.137916380722046,negative,negative,positive,negative,4,1,3,0,negative,0.75
hu6800,limma,carcinomas,LU/LUAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,95.58,0.47,0,254.83999999999997,1.141,0.413,0.7665057050514807,2.580467164669919,-0.2087892031139657,-4.0494548027205255,0.8296518136375493,0.4353216822936152,15.243724594175744,13,-0.13305952780598795,4.318602797607163,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,limma,carcinomas,OV/OVAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,76.34,0.18999999999999995,0,138.63,1.329,0.189,NA,NA,NA,NA,0.2688214212111153,0.29342768605971425,25.847101081968628,9,-0.03356395733621764,10.346574058061034,positive,positive,NA,positive,3,3,0,0,positive,1
hu6800,limma,carcinomas,PA/PAAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-34.1,0.32000000000000006,0,-68.67999999999998,-0.006,0.296,-0.6013764943840014,-4.22645638092912,0.3824096787615391,150.20072961444757,-0.41260394593940086,-0.08564329527603554,24.020789985553503,13,0.07047588058699261,1.7063534455500289,positive,positive,negative,negative,4,2,2,0,positive,0.5
hu6800,limma,carcinomas,UT/EAC,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,62.88,0.050000000000000044,0,281.46000000000004,0.732,0.047,0.5074683390318457,1.8659181194119356,-0.056425591101086636,2.4858965608584143,2.3965193055418057,0.9481379713936858,26.499227794457173,13,-0.4287734720048389,4.971990788756795,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,limma,blastomas,Brain/GBM,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-33.93,0.09000000000000008,0,-104.68,0.322,0.085,0.2613563291071537,1.3676495148084893,-0.004718386687283693,-19.529399551054723,1.3101064058543206,0.43779042506273425,26.573302833562675,13,-0.164027576490885,4.097759026755892,positive,positive,positive,positive,4,4,0,0,positive,1
