chip,filter_regime,group,comparison,engine,metric,value,direction,inference_status,p_value,p_fdr,resampling_method,n_resamples,runtime_sec,source_file,source_layer,notes
hu35ksuba,limma,carcinomas,UT/EAC,mp,excess_spectral_mass_delta,-44.3088236953011,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,UT/EAC,mp,largest_eigenvalue_fraction_delta,-0.23166983466452995,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,UT/EAC,mp,participation_ratio_delta,3.3935646011305227,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,UT/EAC,mp,spectral_entropy_delta,0.6628943770188775,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,leukemias,PB/B-ALL,complexity,effrank_delta,-0.010000000000000009,tumor_lower,permutation_available,0.55,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,leukemias,PB/B-ALL,complexity,kappa_delta,57.68,tumor_greater,permutation_available,0.55,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,leukemias,PB/B-ALL,entropy,shannon_delta,1.007,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,leukemias,PB/B-ALL,entropy,spectral_delta,-0.01,tumor_lower,permutation_available,0.95,0.95,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,leukemias,PB/B-ALL,mp,excess_spectral_mass_delta,-163.61348148644652,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,leukemias,PB/B-ALL,mp,largest_eigenvalue_fraction_delta,-0.28125471401580904,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,leukemias,PB/B-ALL,mp,participation_ratio_delta,4.282897210359475,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,leukemias,PB/B-ALL,mp,spectral_entropy_delta,0.88085424966499,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,leukemias,PB/T-ALL,complexity,effrank_delta,-0.06999999999999984,tumor_lower,permutation_available,0.72,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,leukemias,PB/T-ALL,complexity,kappa_delta,47.41,tumor_greater,permutation_available,0.72,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,leukemias,PB/T-ALL,entropy,shannon_delta,1.005,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,leukemias,PB/T-ALL,entropy,spectral_delta,-0.068,tumor_lower,permutation_available,0.66,0.78,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,leukemias,PB/T-ALL,mp,excess_spectral_mass_delta,-147.29753941495164,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,leukemias,PB/T-ALL,mp,largest_eigenvalue_fraction_delta,-0.25251207222671607,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,leukemias,PB/T-ALL,mp,participation_ratio_delta,3.8050774645299366,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,leukemias,PB/T-ALL,mp,spectral_entropy_delta,0.8524201061468248,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,lymphomas,GC/FL,complexity,effrank_delta,0.22999999999999998,tumor_greater,permutation_available,0.97,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,lymphomas,GC/FL,complexity,kappa_delta,20.58,tumor_greater,permutation_available,0.97,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,lymphomas,GC/FL,entropy,shannon_delta,0.88,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,lymphomas,GC/FL,entropy,spectral_delta,0.242,tumor_greater,permutation_available,0.15,0.32499999999999996,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
