chip,filter_regime,group,comparison,engine,metric,value,direction,inference_status,p_value,p_fdr,resampling_method,n_resamples,runtime_sec,source_file,source_layer,notes
hu35ksuba,variance_global,carcinomas,PR/PRAD,mp,spectral_entropy_delta,0.17333324661105132,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,UT/EAC,complexity,effrank_delta,0.26,tumor_greater,permutation_available,0.89,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,UT/EAC,complexity,kappa_delta,16.8,tumor_greater,permutation_available,0.89,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,UT/EAC,entropy,shannon_delta,0.738,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,UT/EAC,entropy,spectral_delta,0.203,tumor_greater,permutation_available,0.35,0.475,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,UT/EAC,mp,excess_spectral_mass_delta,-385.26473309261235,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,UT/EAC,mp,largest_eigenvalue_fraction_delta,-0.30996182845258163,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,UT/EAC,mp,participation_ratio_delta,3.5017800828938372,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,UT/EAC,mp,spectral_entropy_delta,0.7710327892715569,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,leukemias,PB/B-ALL,complexity,effrank_delta,0.010000000000000009,tumor_greater,permutation_available,0.89,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,leukemias,PB/B-ALL,complexity,kappa_delta,37.09,tumor_greater,permutation_available,0.89,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,leukemias,PB/B-ALL,entropy,shannon_delta,1.006,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,leukemias,PB/B-ALL,entropy,spectral_delta,0.004,tumor_greater,permutation_available,0.99,0.99,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,leukemias,PB/B-ALL,mp,excess_spectral_mass_delta,-426.5348450141954,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,leukemias,PB/B-ALL,mp,largest_eigenvalue_fraction_delta,-0.309298512942816,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,leukemias,PB/B-ALL,mp,participation_ratio_delta,3.9777059572361364,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,leukemias,PB/B-ALL,mp,spectral_entropy_delta,0.9313011198551144,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,leukemias,PB/T-ALL,complexity,effrank_delta,-0.009999999999999787,tumor_lower,permutation_available,0.9,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,leukemias,PB/T-ALL,complexity,kappa_delta,29.62,tumor_greater,permutation_available,0.9,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,leukemias,PB/T-ALL,entropy,shannon_delta,1.005,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,leukemias,PB/T-ALL,entropy,spectral_delta,-0.005,tumor_lower,permutation_available,0.97,0.99,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,leukemias,PB/T-ALL,mp,excess_spectral_mass_delta,-306.30587536288454,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
