chip,gene_set_mode,gene_set_id,gene_set_normalized,gene_set_name,go_ontology,root_node,n_probes
hu35ksuba,GO_MF,GO:0008094,GO:0008094,"ATPase, acting on DNA",MF,molecular_function,19
hu35ksuba,GO_MF,GO:0008097,GO:0008097,5S rRNA binding,MF,molecular_function,5
hu35ksuba,GO_BP,GO:0008104,GO:0008104,protein localization,BP,biological_process,61
hu35ksuba,GO_MF,GO:0008106,GO:0008106,alcohol dehydrogenase (NADP+) activity,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008107,GO:0008107,galactoside 2-alpha-L-fucosyltransferase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008113,GO:0008113,peptide-methionine (S)-S-oxide reductase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008116,GO:0008116,prostaglandin-I synthase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008117,GO:0008117,sphinganine-1-phosphate aldolase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008118,GO:0008118,"N-acetyllactosaminide alpha-2,3-sialyltransferase activity",MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008120,GO:0008120,ceramide glucosyltransferase activity,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008121,GO:0008121,ubiquinol-cytochrome-c reductase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008126,GO:0008126,acetylesterase activity,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008127,GO:0008127,"quercetin 2,3-dioxygenase activity",MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008131,GO:0008131,primary amine oxidase activity,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008134,GO:0008134,transcription factor binding,MF,molecular_function,7
hu35ksuba,GO_MF,GO:0008135,GO:0008135,"translation factor activity, RNA binding",MF,molecular_function,15
hu35ksuba,GO_MF,GO:0008137,GO:0008137,NADH dehydrogenase (ubiquinone) activity,MF,molecular_function,22
hu35ksuba,GO_MF,GO:0008138,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,MF,molecular_function,12
hu35ksuba,GO_MF,GO:0008139,GO:0008139,nuclear localization sequence binding,MF,molecular_function,22
hu35ksuba,GO_MF,GO:0008140,GO:0008140,cAMP response element binding protein binding,MF,molecular_function,2
hu35ksuba,GO_MF,GO:0008142,GO:0008142,oxysterol binding,MF,molecular_function,11
hu35ksuba,GO_MF,GO:0008143,GO:0008143,poly(A) binding,MF,molecular_function,20
hu35ksuba,GO_MF,GO:0008146,GO:0008146,sulfotransferase activity,MF,molecular_function,13
hu35ksuba,GO_MF,GO:0008147,GO:0008147,structural constituent of bone,MF,molecular_function,1
hu35ksuba,GO_BP,GO:0008150,GO:0008150,biological_process,BP,biological_process,25
hu35ksuba,GO_BP,GO:0008154,GO:0008154,actin polymerization or depolymerization,BP,biological_process,11
hu35ksuba,GO_BP,GO:0008156,GO:0008156,negative regulation of DNA replication,BP,biological_process,4
hu35ksuba,GO_MF,GO:0008157,GO:0008157,protein phosphatase 1 binding,MF,molecular_function,10
hu35ksuba,GO_MF,GO:0008158,GO:0008158,hedgehog receptor activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008168,GO:0008168,methyltransferase activity,MF,molecular_function,100
hu35ksuba,GO_MF,GO:0008170,GO:0008170,N-methyltransferase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008171,GO:0008171,O-methyltransferase activity,MF,molecular_function,4
hu35ksuba,GO_MF,GO:0008172,GO:0008172,S-methyltransferase activity,MF,molecular_function,3
hu35ksuba,GO_MF,GO:0008173,GO:0008173,RNA methyltransferase activity,MF,molecular_function,16
hu35ksuba,GO_MF,GO:0008175,GO:0008175,tRNA methyltransferase activity,MF,molecular_function,5
hu35ksuba,GO_MF,GO:0008177,GO:0008177,succinate dehydrogenase (ubiquinone) activity,MF,molecular_function,2
hu35ksuba,GO_MF,GO:0008179,GO:0008179,adenylate cyclase binding,MF,molecular_function,6
hu35ksuba,GO_MF,GO:0008184,GO:0008184,glycogen phosphorylase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008186,GO:0008186,"ATPase, acting on RNA",MF,molecular_function,6
hu35ksuba,GO_MF,GO:0008188,GO:0008188,neuropeptide receptor activity,MF,molecular_function,2
hu35ksuba,GO_MF,GO:0008190,GO:0008190,eukaryotic initiation factor 4E binding,MF,molecular_function,6
hu35ksuba,GO_MF,GO:0008191,GO:0008191,metalloendopeptidase inhibitor activity,MF,molecular_function,6
hu35ksuba,GO_MF,GO:0008192,GO:0008192,RNA guanylyltransferase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008194,GO:0008194,UDP-glycosyltransferase activity,MF,molecular_function,7
hu35ksuba,GO_MF,GO:0008195,GO:0008195,phosphatidate phosphatase activity,MF,molecular_function,5
