ontology,go_id,go_name,root_node,n_chips,total_probe_memberships
BP,GO:0001732,formation of cytoplasmic translation initiation complex,biological_process,2,19
BP,GO:0001738,morphogenesis of a polarized epithelium,biological_process,2,17
BP,GO:0001755,neural crest cell migration,biological_process,2,28
BP,GO:0001756,somitogenesis,biological_process,2,11
BP,GO:0001763,morphogenesis of a branching structure,biological_process,1,6
BP,GO:0001764,neuron migration,biological_process,2,73
BP,GO:0001765,membrane raft assembly,biological_process,1,5
BP,GO:0001771,immunological synapse formation,biological_process,1,6
BP,GO:0001774,microglial cell activation,biological_process,1,22
BP,GO:0001775,cell activation,biological_process,1,9
BP,GO:0001778,plasma membrane repair,biological_process,2,23
BP,GO:0001779,natural killer cell differentiation,biological_process,1,6
BP,GO:0001780,neutrophil homeostasis,biological_process,1,5
BP,GO:0001782,B cell homeostasis,biological_process,1,5
BP,GO:0001788,antibody-dependent cellular cytotoxicity,biological_process,1,9
BP,GO:0001817,regulation of cytokine production,biological_process,2,58
BP,GO:0001818,negative regulation of cytokine production,biological_process,2,37
BP,GO:0001819,positive regulation of cytokine production,biological_process,2,73
BP,GO:0001822,kidney development,biological_process,2,83
BP,GO:0001823,mesonephros development,biological_process,1,10
BP,GO:0001836,release of cytochrome c from mitochondria,biological_process,2,31
BP,GO:0001837,epithelial to mesenchymal transition,biological_process,2,64
BP,GO:0001843,neural tube closure,biological_process,2,35
BP,GO:0001867,"complement activation, lectin pathway",biological_process,1,10
BP,GO:0001878,response to yeast,biological_process,1,10
BP,GO:0001889,liver development,biological_process,2,56
BP,GO:0001890,placenta development,biological_process,2,17
BP,GO:0001892,embryonic placenta development,biological_process,1,7
BP,GO:0001894,tissue homeostasis,biological_process,2,17
BP,GO:0001895,retina homeostasis,biological_process,2,12
BP,GO:0001913,T cell mediated cytotoxicity,biological_process,1,7
BP,GO:0001915,negative regulation of T cell mediated cytotoxicity,biological_process,1,6
BP,GO:0001916,positive regulation of T cell mediated cytotoxicity,biological_process,2,31
BP,GO:0001921,positive regulation of receptor recycling,biological_process,2,20
BP,GO:0001933,negative regulation of protein phosphorylation,biological_process,2,36
BP,GO:0001934,positive regulation of protein phosphorylation,biological_process,2,56
BP,GO:0001935,endothelial cell proliferation,biological_process,2,21
BP,GO:0001936,regulation of endothelial cell proliferation,biological_process,1,5
BP,GO:0001937,negative regulation of endothelial cell proliferation,biological_process,2,49
BP,GO:0001938,positive regulation of endothelial cell proliferation,biological_process,2,79
BP,GO:0001942,hair follicle development,biological_process,1,9
BP,GO:0001944,vasculature development,biological_process,2,16
BP,GO:0001946,lymphangiogenesis,biological_process,2,14
BP,GO:0001947,heart looping,biological_process,2,35
BP,GO:0001952,regulation of cell-matrix adhesion,biological_process,1,8
BP,GO:0001953,negative regulation of cell-matrix adhesion,biological_process,2,16
BP,GO:0001954,positive regulation of cell-matrix adhesion,biological_process,2,34
BP,GO:0001958,endochondral ossification,biological_process,1,8
BP,GO:0001960,negative regulation of cytokine-mediated signaling pathway,biological_process,2,20
BP,GO:0001961,positive regulation of cytokine-mediated signaling pathway,biological_process,2,12
BP,GO:0001963,"synaptic transmission, dopaminergic",biological_process,1,13
BP,GO:0001964,startle response,biological_process,1,5
BP,GO:0001970,positive regulation of activation of membrane attack complex,biological_process,1,6
BP,GO:0001971,negative regulation of activation of membrane attack complex,biological_process,1,6
BP,GO:0001973,G protein-coupled adenosine receptor signaling pathway,biological_process,1,6
BP,GO:0001974,blood vessel remodeling,biological_process,2,31
BP,GO:0001975,response to amphetamine,biological_process,1,19
BP,GO:0001992,regulation of systemic arterial blood pressure by vasopressin,biological_process,1,5
BP,GO:0002003,angiotensin maturation,biological_process,2,17
BP,GO:0002009,morphogenesis of an epithelium,biological_process,2,28
BP,GO:0002021,response to dietary excess,biological_process,1,5
BP,GO:0002024,diet induced thermogenesis,biological_process,1,7
BP,GO:0002026,regulation of the force of heart contraction,biological_process,2,24
BP,GO:0002027,regulation of heart rate,biological_process,2,35
BP,GO:0002028,regulation of sodium ion transport,biological_process,2,15
BP,GO:0002029,desensitization of G protein-coupled receptor signaling pathway,biological_process,1,5
BP,GO:0002031,G protein-coupled receptor internalization,biological_process,1,9
BP,GO:0002040,sprouting angiogenesis,biological_process,2,31
BP,GO:0002042,cell migration involved in sprouting angiogenesis,biological_process,2,33
BP,GO:0002052,positive regulation of neuroblast proliferation,biological_process,2,15
BP,GO:0002053,positive regulation of mesenchymal cell proliferation,biological_process,1,13
BP,GO:0002062,chondrocyte differentiation,biological_process,2,60
BP,GO:0002076,osteoblast development,biological_process,1,9
BP,GO:0002082,regulation of oxidative phosphorylation,biological_process,2,15
BP,GO:0002084,protein depalmitoylation,biological_process,1,6
BP,GO:0002088,lens development in camera-type eye,biological_process,2,19
BP,GO:0002090,regulation of receptor internalization,biological_process,1,5
BP,GO:0002091,negative regulation of receptor internalization,biological_process,2,13
BP,GO:0002092,positive regulation of receptor internalization,biological_process,2,30
BP,GO:0002098,tRNA wobble uridine modification,biological_process,1,10
BP,GO:0002154,thyroid hormone mediated signaling pathway,biological_process,1,7
BP,GO:0002157,positive regulation of thyroid hormone mediated signaling pathway,biological_process,1,7
BP,GO:0002159,desmosome assembly,biological_process,2,14
BP,GO:0002181,cytoplasmic translation,biological_process,2,95
BP,GO:0002183,cytoplasmic translational initiation,biological_process,2,33
BP,GO:0002218,activation of innate immune response,biological_process,2,36
BP,GO:0002223,stimulatory C-type lectin receptor signaling pathway,biological_process,2,28
BP,GO:0002224,toll-like receptor signaling pathway,biological_process,2,21
BP,GO:0002227,innate immune response in mucosa,biological_process,1,21
BP,GO:0002230,positive regulation of defense response to virus by host,biological_process,2,41
BP,GO:0002237,response to molecule of bacterial origin,biological_process,1,8
BP,GO:0002244,hematopoietic progenitor cell differentiation,biological_process,2,21
BP,GO:0002250,adaptive immune response,biological_process,2,240
BP,GO:0002265,astrocyte activation involved in immune response,biological_process,1,6
BP,GO:0002281,macrophage activation involved in immune response,biological_process,2,15
BP,GO:0002282,microglial cell activation involved in immune response,biological_process,1,5
BP,GO:0002283,neutrophil activation involved in immune response,biological_process,2,10
BP,GO:0002286,T cell activation involved in immune response,biological_process,2,24
BP,GO:0002312,B cell activation involved in immune response,biological_process,1,15
BP,GO:0002314,germinal center B cell differentiation,biological_process,1,7
BP,GO:0002315,marginal zone B cell differentiation,biological_process,1,7
BP,GO:0002323,natural killer cell activation involved in immune response,biological_process,1,15
BP,GO:0002331,pre-B cell allelic exclusion,biological_process,1,9
BP,GO:0002357,defense response to tumor cell,biological_process,1,10
BP,GO:0002376,immune system process,biological_process,2,672
BP,GO:0002407,dendritic cell chemotaxis,biological_process,1,23
BP,GO:0002429,immune response-activating cell surface receptor signaling pathway,biological_process,1,7
BP,GO:0002430,complement receptor mediated signaling pathway,biological_process,1,16
BP,GO:0002434,immune complex clearance,biological_process,1,5
BP,GO:0002437,inflammatory response to antigenic stimulus,biological_process,1,7
BP,GO:0002438,acute inflammatory response to antigenic stimulus,biological_process,1,5
BP,GO:0002446,neutrophil mediated immunity,biological_process,2,22
BP,GO:0002456,T cell mediated immunity,biological_process,2,23
BP,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,biological_process,2,33
BP,GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,biological_process,1,10
BP,GO:0002477,antigen processing and presentation of exogenous peptide antigen via MHC class Ib,biological_process,1,11
BP,GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",biological_process,1,10
BP,GO:0002502,peptide antigen assembly with MHC class I protein complex,biological_process,2,12
BP,GO:0002503,peptide antigen assembly with MHC class II protein complex,biological_process,1,26
BP,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,biological_process,1,24
BP,GO:0002520,immune system development,biological_process,1,6
BP,GO:0002523,leukocyte migration involved in inflammatory response,biological_process,1,15
BP,GO:0002532,production of molecular mediator involved in inflammatory response,biological_process,1,5
BP,GO:0002544,chronic inflammatory response,biological_process,1,7
BP,GO:0002548,monocyte chemotaxis,biological_process,2,30
BP,GO:0002573,myeloid leukocyte differentiation,biological_process,1,7
BP,GO:0002606,positive regulation of dendritic cell antigen processing and presentation,biological_process,1,6
BP,GO:0002634,regulation of germinal center formation,biological_process,1,5
BP,GO:0002638,negative regulation of immunoglobulin production,biological_process,1,7
BP,GO:0002639,positive regulation of immunoglobulin production,biological_process,2,30
BP,GO:0002674,negative regulation of acute inflammatory response,biological_process,1,7
BP,GO:0002675,positive regulation of acute inflammatory response,biological_process,2,14
BP,GO:0002682,regulation of immune system process,biological_process,2,46
BP,GO:0002684,positive regulation of immune system process,biological_process,2,15
BP,GO:0002687,positive regulation of leukocyte migration,biological_process,2,19
BP,GO:0002690,positive regulation of leukocyte chemotaxis,biological_process,1,14
BP,GO:0002693,positive regulation of cellular extravasation,biological_process,1,6
BP,GO:0002715,regulation of natural killer cell mediated immunity,biological_process,1,11
BP,GO:0002719,negative regulation of cytokine production involved in immune response,biological_process,1,6
BP,GO:0002720,positive regulation of cytokine production involved in immune response,biological_process,1,11
BP,GO:0002725,negative regulation of T cell cytokine production,biological_process,1,7
BP,GO:0002726,positive regulation of T cell cytokine production,biological_process,2,23
BP,GO:0002729,positive regulation of natural killer cell cytokine production,biological_process,1,6
BP,GO:0002752,cell surface pattern recognition receptor signaling pathway,biological_process,1,7
BP,GO:0002753,cytoplasmic pattern recognition receptor signaling pathway,biological_process,2,21
BP,GO:0002755,MyD88-dependent toll-like receptor signaling pathway,biological_process,2,14
BP,GO:0002767,immune response-inhibiting cell surface receptor signaling pathway,biological_process,2,18
BP,GO:0002768,immune response-regulating cell surface receptor signaling pathway,biological_process,2,14
BP,GO:0002819,regulation of adaptive immune response,biological_process,1,6
BP,GO:0002821,positive regulation of adaptive immune response,biological_process,1,6
BP,GO:0002826,negative regulation of T-helper 1 type immune response,biological_process,1,9
BP,GO:0002827,positive regulation of T-helper 1 type immune response,biological_process,1,7
